                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.47548,                 0.6058,                 1.0223,                0.71552,                0.94933,                0.89375,                0.75737,                0.68675,                0.87345,                 1.3616,             0.00054478,             0.00054478,             0.00054478
                     36,                0.45823,                0.57688,                 1.0241,                0.71321,                0.93892,                0.89952,                0.75854,                0.64704,                0.83581,                 1.2955,             0.00051177,             0.00051177,             0.00051177
                     37,                0.46602,                0.59821,                 1.0187,                0.71026,                0.91815,                0.87941,                0.73273,                0.66514,                0.85354,                 1.3433,             0.00047876,             0.00047876,             0.00047876
                     38,                0.45069,                0.59551,                 1.0106,                0.66629,                0.95369,                0.82592,                0.70562,                0.65425,                0.84847,                 1.3156,             0.00044576,             0.00044576,             0.00044576
                     39,                0.45241,                 0.5781,                 1.0077,                0.70511,                0.89411,                0.84345,                0.70299,                0.69918,                0.86286,                 1.3775,             0.00041275,             0.00041275,             0.00041275
                     40,                0.43258,                0.56862,                0.99885,                0.71798,                0.95438,                0.93531,                0.79865,                0.61553,                0.81696,                 1.2618,             0.00037974,             0.00037974,             0.00037974
                     41,                0.35797,                0.48065,                0.95811,                0.76132,                0.92004,                0.93964,                0.80113,                0.61397,                0.80108,                 1.2655,             0.00034674,             0.00034674,             0.00034674
                     42,                0.35766,                0.45983,                0.96072,                0.76322,                0.87075,                0.87882,                0.74301,                0.62726,                0.81468,                 1.2913,             0.00031373,             0.00031373,             0.00031373
                     43,                0.33704,                0.44242,                0.94767,                0.71107,                0.95213,                0.93692,                0.80248,                0.60433,                0.75446,                 1.2606,             0.00028072,             0.00028072,             0.00028072
                     44,                0.32164,                0.42991,                0.93258,                0.60253,                0.92091,                0.75139,                0.63863,                0.62768,                0.83303,                 1.3034,             0.00024772,             0.00024772,             0.00024772
                     45,                0.32742,                0.43465,                0.94089,                0.72297,                 0.9131,                0.90853,                0.75434,                0.63175,                 0.7837,                 1.2907,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.3205,                0.43608,                0.93581,                0.67947,                0.94595,                0.88913,                0.75032,                0.64658,                0.79828,                   1.32,              0.0001817,              0.0001817,              0.0001817
                     47,                0.30161,                0.41591,                0.92665,                0.66369,                0.93738,                0.83466,                0.70576,                 0.6229,                0.82168,                 1.3113,              0.0001487,              0.0001487,              0.0001487
                     48,                0.30449,                0.41565,                0.92728,                0.72541,                0.85725,                0.84198,                0.71032,                0.60431,                0.79718,                 1.2688,             0.00011569,             0.00011569,             0.00011569
                     49,                 0.2936,                0.40921,                0.91846,                0.74453,                 0.9113,                0.89938,                0.74795,                0.62808,                0.77084,                 1.3315,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.29597,                0.40394,                0.92493,                0.72547,                0.91989,                0.88836,                0.75386,                0.62152,                0.75985,                 1.3111,             4.9677e-05,             4.9677e-05,             4.9677e-05
