                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84076,                 1.7577,                 1.3139,                0.39993,                 0.8051,                0.44912,                0.26288,                 1.4391,                 2.1581,                 2.6979,             0.00055047,             0.00055047,             0.00055047
                      2,                0.79186,                 1.2527,                 1.2381,                0.36343,                0.85881,                0.44311,                0.25782,                 1.4636,                 2.3586,                 2.3504,              0.0010952,              0.0010952,              0.0010952
                      3,                0.84271,                 1.1696,                 1.2615,                0.28266,                0.47688,                0.28915,                 0.1508,                 1.5184,                 2.5857,                 2.3036,              0.0016289,              0.0016289,              0.0016289
                      4,                0.80798,                 1.0751,                 1.2418,                0.54147,                0.74905,                 0.6006,                0.42498,                 1.2866,                 1.4744,                 2.0278,              0.0016175,              0.0016175,              0.0016175
                      5,                 0.7734,                 1.0075,                 1.2102,                0.54535,                0.87557,                0.63567,                0.49518,                 1.0219,                 1.4366,                 1.7493,               0.001601,               0.001601,               0.001601
                      6,                0.74672,                0.93178,                 1.1903,                0.39097,                0.75261,                0.43751,                0.30929,                 1.1135,                 1.5506,                 2.0579,              0.0015845,              0.0015845,              0.0015845
                      7,                0.71753,                0.89251,                 1.1748,                0.51079,                0.91015,                0.61625,                0.48129,                0.94194,                 1.1866,                  1.699,               0.001568,               0.001568,               0.001568
                      8,                0.70444,                0.88319,                 1.1628,                0.57944,                0.86562,                0.65166,                0.49177,                0.97685,                 1.2185,                 1.6538,              0.0015515,              0.0015515,              0.0015515
                      9,                0.70218,                0.84897,                 1.1567,                0.49301,                0.73328,                0.62456,                0.48482,                 1.1323,                 1.2557,                 1.9796,               0.001535,               0.001535,               0.001535
                     10,                0.68734,                0.84407,                 1.1521,                0.56468,                0.93985,                0.72272,                 0.5614,                 1.0211,                 1.0862,                 1.8728,              0.0015185,              0.0015185,              0.0015185
                     11,                0.65041,                0.81785,                 1.1319,                0.56787,                0.85966,                0.73299,                0.60203,                0.78241,                 1.1673,                 1.4332,               0.001502,               0.001502,               0.001502
                     12,                0.66785,                0.82016,                 1.1377,                0.63445,                0.88713,                0.70507,                0.58465,                0.80578,                 1.0429,                 1.4728,              0.0014855,              0.0014855,              0.0014855
                     13,                0.62774,                0.77532,                 1.1084,                0.53521,                0.98955,                0.70626,                0.54829,                0.91867,                 1.0804,                 1.6074,               0.001469,               0.001469,               0.001469
                     14,                0.61823,                0.75212,                 1.1058,                0.57572,                0.87794,                0.70785,                0.58204,                0.83785,                 1.0338,                 1.5659,              0.0014525,              0.0014525,              0.0014525
                     15,                0.62046,                0.75822,                 1.1159,                0.59166,                0.82594,                0.68958,                0.57671,                0.78186,                 1.0954,                 1.4406,               0.001436,               0.001436,               0.001436
                     16,                 0.6194,                0.76874,                 1.1213,                0.60341,                0.89103,                0.69985,                0.55629,                0.93636,                 1.1758,                 1.7072,              0.0014195,              0.0014195,              0.0014195
                     17,                 0.6021,                0.73599,                 1.0973,                0.56755,                0.83014,                 0.7741,                0.62313,                0.83035,                 1.0302,                 1.5364,              0.0014029,              0.0014029,              0.0014029
                     18,                0.59722,                0.72103,                 1.0968,                0.59738,                0.87574,                0.76368,                0.61958,                0.81607,                 0.9773,                 1.4945,              0.0013864,              0.0013864,              0.0013864
                     19,                0.59376,                0.72584,                 1.0978,                0.66882,                0.91942,                0.77221,                0.59525,                0.96385,                 1.0992,                 1.6956,              0.0013699,              0.0013699,              0.0013699
                     20,                0.60204,                0.71525,                 1.1001,                0.64981,                  0.941,                0.73222,                0.59436,                0.82661,                 1.0663,                 1.5043,              0.0013534,              0.0013534,              0.0013534
                     21,                0.58418,                0.71839,                 1.0878,                0.64093,                 0.9231,                 0.7926,                0.63844,                0.84329,                0.95915,                 1.4883,              0.0013369,              0.0013369,              0.0013369
                     22,                0.56636,                0.68897,                 1.0818,                0.66614,                0.88472,                0.79015,                0.64562,                0.80537,                 1.0002,                 1.4693,              0.0013204,              0.0013204,              0.0013204
                     23,                0.56892,                0.71246,                 1.0804,                0.65647,                0.93795,                0.81326,                0.65707,                0.90547,                0.95585,                 1.6913,              0.0013039,              0.0013039,              0.0013039
                     24,                0.55773,                0.69735,                 1.0833,                0.61321,                0.89875,                0.82588,                0.64395,                0.84139,                0.96093,                 1.5915,              0.0012874,              0.0012874,              0.0012874
                     25,                0.55643,                 0.6885,                 1.0667,                0.54949,                0.92587,                0.67401,                0.54777,                 0.7966,                0.99648,                 1.5059,              0.0012709,              0.0012709,              0.0012709
                     26,                0.55121,                0.68303,                 1.0735,                0.62662,                 0.9429,                0.82151,                0.66935,                0.81363,                0.98302,                 1.5115,              0.0012544,              0.0012544,              0.0012544
                     27,                 0.5474,                0.66131,                 1.0687,                0.65014,                0.91597,                0.74191,                0.59871,                 0.8951,                 1.0354,                 1.6229,              0.0012379,              0.0012379,              0.0012379
                     28,                 0.5474,                0.67543,                 1.0705,                0.65224,                0.89131,                 0.7566,                0.63784,                0.75377,                0.95438,                 1.4315,              0.0012214,              0.0012214,              0.0012214
                     29,                0.54163,                0.66524,                 1.0642,                0.64974,                 0.9547,                0.81549,                0.66509,                0.83174,                 0.8907,                 1.5302,              0.0012049,              0.0012049,              0.0012049
                     30,                0.52649,                0.65825,                 1.0595,                0.64152,                0.89509,                0.78995,                0.66408,                0.78522,                0.89748,                 1.4215,              0.0011884,              0.0011884,              0.0011884
                     31,                0.52839,                0.64882,                 1.0538,                0.61133,                0.93672,                0.74669,                0.61724,                 0.7664,                0.95287,                 1.4563,              0.0011719,              0.0011719,              0.0011719
                     32,                0.51925,                0.65237,                 1.0486,                0.69562,                0.96113,                0.84297,                0.71009,                0.75035,                0.87981,                 1.4262,              0.0011554,              0.0011554,              0.0011554
                     33,                0.52777,                0.64509,                   1.05,                0.59683,                 0.9585,                 0.7896,                0.65102,                0.68825,                0.90792,                 1.3803,              0.0011389,              0.0011389,              0.0011389
                     34,                0.51574,                0.63753,                 1.0493,                0.60874,                0.95697,                0.79045,                0.66121,                0.72088,                0.94623,                 1.3978,              0.0011224,              0.0011224,              0.0011224
                     35,                0.51667,                0.64861,                 1.0503,                0.68099,                 0.9509,                0.87296,                 0.6898,                0.78873,                0.87372,                 1.5176,              0.0011059,              0.0011059,              0.0011059
                     36,                0.50278,                 0.6233,                  1.049,                0.66615,                0.95772,                 0.8212,                0.70676,                0.65174,                0.86493,                 1.3058,              0.0010894,              0.0010894,              0.0010894
                     37,                0.51186,                0.64368,                 1.0438,                0.68513,                0.97335,                0.90851,                0.74456,                 0.6874,                0.86545,                 1.3665,              0.0010729,              0.0010729,              0.0010729
                     38,                0.49763,                0.63095,                 1.0385,                0.62059,                0.94676,                0.77307,                0.65241,                0.69821,                0.93876,                 1.3534,              0.0010564,              0.0010564,              0.0010564
                     39,                0.50731,                0.62936,                 1.0366,                0.58573,                0.90391,                0.69351,                0.56976,                0.72037,                0.90928,                 1.3901,              0.0010399,              0.0010399,              0.0010399
                     40,                0.49135,                0.61673,                 1.0302,                0.69249,                0.92384,                0.86683,                0.74235,                0.70921,                0.85976,                 1.3888,              0.0010234,              0.0010234,              0.0010234
                     41,                0.50352,                0.61857,                 1.0388,                0.67795,                0.92995,                0.88283,                0.71779,                0.70979,                0.85555,                 1.4043,              0.0010069,              0.0010069,              0.0010069
                     42,                0.50092,                0.61192,                 1.0393,                0.66155,                0.93554,                0.83733,                0.70414,                0.68648,                0.86171,                 1.3493,             0.00099036,             0.00099036,             0.00099036
                     43,                0.48574,                0.60802,                 1.0248,                0.59513,                0.92497,                0.75255,                0.61027,                0.87376,                0.94612,                 1.6224,             0.00097386,             0.00097386,             0.00097386
                     44,                0.48308,                0.60701,                 1.0324,                0.70183,                0.90675,                0.90678,                0.74452,                0.71094,                0.84482,                 1.3917,             0.00095736,             0.00095736,             0.00095736
                     45,                0.48448,                0.60309,                 1.0298,                0.71392,                0.94541,                0.79325,                0.67823,                0.69937,                0.85937,                 1.3687,             0.00094085,             0.00094085,             0.00094085
                     46,                0.48307,                0.60745,                 1.0222,                0.72682,                0.94775,                0.90365,                0.71873,                0.82467,                  0.848,                 1.5413,             0.00092435,             0.00092435,             0.00092435
                     47,                0.47234,                0.58934,                  1.018,                0.71601,                0.93624,                0.89443,                0.73187,                0.78576,                 0.8343,                 1.4836,             0.00090785,             0.00090785,             0.00090785
                     48,                0.46928,                0.58803,                 1.0163,                0.66182,                0.91625,                0.83733,                0.66518,                0.78617,                0.88152,                 1.4997,             0.00089134,             0.00089134,             0.00089134
                     49,                0.47021,                0.58943,                 1.0252,                0.61368,                0.94815,                0.77963,                0.66299,                0.66237,                0.83803,                 1.3469,             0.00087484,             0.00087484,             0.00087484
                     50,                 0.4798,                0.60019,                 1.0304,                0.63225,                 0.9605,                0.82278,                0.68302,                0.69934,                0.87614,                 1.3745,             0.00085834,             0.00085834,             0.00085834
                     51,                 0.4648,                0.58721,                 1.0141,                0.64541,                0.95012,                 0.8211,                0.69732,                0.68608,                0.87364,                 1.3556,             0.00084184,             0.00084184,             0.00084184
                     52,                0.46842,                0.59991,                 1.0188,                0.64714,                0.90675,                0.76438,                 0.6356,                0.73368,                0.92184,                 1.4416,             0.00082533,             0.00082533,             0.00082533
                     53,                0.45407,                0.57438,                 1.0113,                0.68619,                0.89991,                 0.8527,                0.70185,                0.72929,                0.85205,                 1.4258,             0.00080883,             0.00080883,             0.00080883
                     54,                0.44977,                0.56497,                 1.0036,                 0.7083,                0.94808,                0.88732,                0.72399,                0.73325,                 0.8552,                 1.4563,             0.00079233,             0.00079233,             0.00079233
                     55,                0.46306,                0.58614,                 1.0184,                0.59756,                0.93452,                0.79277,                 0.6457,                0.72096,                0.88214,                 1.4342,             0.00077582,             0.00077582,             0.00077582
                     56,                0.45665,                0.57232,                 1.0085,                0.70136,                 0.9429,                0.90412,                  0.746,                0.72583,                0.86116,                 1.4227,             0.00075932,             0.00075932,             0.00075932
                     57,                0.43974,                0.56008,                 1.0099,                0.85188,                0.88653,                0.92668,                0.75785,                0.73278,                0.84482,                 1.4435,             0.00074282,             0.00074282,             0.00074282
                     58,                0.44859,                0.56512,                  1.008,                  0.712,                0.90969,                0.87267,                0.73531,                0.63561,                0.79091,                 1.2961,             0.00072631,             0.00072631,             0.00072631
                     59,                0.44401,                0.57407,                 1.0019,                0.65678,                0.93526,                0.83739,                0.69246,                0.69012,                0.82773,                 1.3798,             0.00070981,             0.00070981,             0.00070981
                     60,                0.44315,                0.56985,                 1.0087,                0.75228,                0.92045,                0.93617,                0.78577,                0.66757,                0.75261,                 1.3645,             0.00069331,             0.00069331,             0.00069331
                     61,                0.44786,                0.56756,                 1.0078,                0.72763,                 0.9206,                0.89126,                0.73933,                0.69237,                 0.8004,                 1.4073,              0.0006768,              0.0006768,              0.0006768
                     62,                0.43468,                0.56326,                0.99758,                0.69487,                0.90923,                0.86826,                0.74799,                0.62681,                0.80942,                 1.3202,              0.0006603,              0.0006603,              0.0006603
                     63,                0.43272,                0.54537,                0.99382,                0.75602,                0.90003,                0.88499,                0.73283,                0.68352,                0.77639,                 1.3881,              0.0006438,              0.0006438,              0.0006438
                     64,                0.42381,                0.55335,                0.99318,                0.69191,                0.94975,                0.90784,                0.76333,                0.66883,                0.83046,                 1.3619,             0.00062729,             0.00062729,             0.00062729
                     65,                0.41852,                0.53399,                0.99188,                0.78188,                 0.8797,                0.89543,                0.76837,                0.64077,                0.78748,                 1.3209,             0.00061079,             0.00061079,             0.00061079
                     66,                0.41951,                0.55229,                0.99635,                 0.7195,                0.93555,                 0.8766,                0.74333,                0.66159,                0.81334,                 1.3353,             0.00059429,             0.00059429,             0.00059429
                     67,                0.40832,                0.53282,                0.98602,                0.68003,                  0.943,                0.84979,                0.71434,                0.68742,                0.84808,                 1.3321,             0.00057778,             0.00057778,             0.00057778
                     68,                0.40431,                0.52637,                0.98228,                0.74934,                 0.9153,                0.92725,                0.77844,                0.65631,                0.72475,                 1.3394,             0.00056128,             0.00056128,             0.00056128
                     69,                0.41833,                0.53986,                0.99297,                0.68969,                0.94674,                0.90439,                0.76567,                0.63698,                0.75883,                 1.3083,             0.00054478,             0.00054478,             0.00054478
                     70,                0.41521,                0.53641,                0.98776,                0.80286,                0.87664,                0.92517,                0.79212,                0.64561,                0.73457,                 1.2933,             0.00052827,             0.00052827,             0.00052827
                     71,                0.40965,                0.54292,                0.98698,                0.73914,                0.93035,                0.91214,                 0.7758,                0.66206,                0.76953,                 1.3468,             0.00051177,             0.00051177,             0.00051177
                     72,                0.40092,                0.51941,                0.97936,                0.68462,                0.94612,                0.84257,                0.70587,                0.66684,                0.79184,                 1.3629,             0.00049527,             0.00049527,             0.00049527
                     73,                0.39729,                0.53438,                0.98281,                0.84885,                0.84389,                0.92091,                0.78793,                0.64706,                0.75534,                 1.3204,             0.00047876,             0.00047876,             0.00047876
                     74,                0.39724,                0.51194,                0.98636,                0.77287,                0.89835,                0.87604,                0.75057,                0.62398,                0.77569,                 1.3138,             0.00046226,             0.00046226,             0.00046226
                     75,                0.39679,                 0.5149,                0.97682,                0.76661,                0.89092,                0.92228,                0.76732,                 0.7064,                0.77195,                   1.41,             0.00044576,             0.00044576,             0.00044576
                     76,                0.39697,                0.52268,                0.97788,                0.72724,                 0.8839,                0.86481,                 0.7207,                0.64806,                 0.8061,                 1.3216,             0.00042925,             0.00042925,             0.00042925
                     77,                0.39005,                0.51262,                0.97805,                0.74593,                0.89216,                0.88055,                0.72704,                0.69555,                0.78421,                 1.3681,             0.00041275,             0.00041275,             0.00041275
                     78,                0.37828,                0.50679,                0.96919,                0.68155,                0.90255,                0.87453,                0.73598,                0.69107,                0.79572,                 1.3781,             0.00039625,             0.00039625,             0.00039625
                     79,                0.38659,                0.51003,                0.97526,                0.72913,                0.92079,                0.91484,                0.78197,                0.65015,                0.77629,                 1.3293,             0.00037974,             0.00037974,             0.00037974
                     80,                0.38699,                 0.5151,                0.97732,                 0.7241,                0.91531,                0.92167,                0.77802,                0.62547,                0.72381,                 1.3051,             0.00036324,             0.00036324,             0.00036324
                     81,                0.37941,                 0.5069,                 0.9751,                0.86828,                0.87292,                0.91765,                0.75457,                0.67338,                 0.7268,                 1.3635,             0.00034674,             0.00034674,             0.00034674
                     82,                0.37638,                0.50249,                0.97073,                0.80766,                0.89147,                0.94399,                 0.7819,                0.64896,                 0.6853,                 1.3053,             0.00033023,             0.00033023,             0.00033023
                     83,                0.36975,                0.49174,                0.96805,                0.72676,                 0.9764,                0.94136,                0.78856,                0.66491,                0.71692,                 1.3344,             0.00031373,             0.00031373,             0.00031373
                     84,                0.37666,                 0.4959,                0.97735,                0.69901,                0.92739,                 0.8788,                0.74453,                 0.6319,                0.74956,                 1.2735,             0.00029723,             0.00029723,             0.00029723
                     85,                0.37357,                0.50104,                0.96578,                0.84414,                0.90036,                0.93401,                0.79835,                0.60766,                0.69021,                 1.2561,             0.00028072,             0.00028072,             0.00028072
                     86,                0.37059,                0.49555,                0.96675,                 0.7451,                0.89373,                0.88263,                0.76057,                0.60655,                 0.7314,                 1.2662,             0.00026422,             0.00026422,             0.00026422
                     87,                0.36396,                0.48841,                0.95935,                0.84137,                0.85057,                0.90809,                0.76481,                0.62079,                0.71082,                 1.2914,             0.00024772,             0.00024772,             0.00024772
                     88,                0.36283,                0.47691,                0.96192,                0.79283,                0.87803,                0.90441,                0.76909,                0.61142,                0.71254,                 1.2833,             0.00023121,             0.00023121,             0.00023121
                     89,                0.35182,                0.47796,                0.95326,                0.87647,                0.86668,                0.94107,                 0.7993,                0.61693,                0.67779,                 1.2956,             0.00021471,             0.00021471,             0.00021471
                     90,                0.35462,                0.47574,                0.95679,                0.72302,                0.90504,                0.90655,                0.75962,                0.66336,                0.72354,                 1.3695,             0.00019821,             0.00019821,             0.00019821
                     91,                0.28477,                0.39746,                0.91926,                0.85364,                0.86933,                0.90426,                0.74271,                 0.6681,                0.75154,                 1.3953,              0.0001817,              0.0001817,              0.0001817
                     92,                0.27262,                0.38031,                0.90549,                0.83551,                0.92886,                0.92059,                0.76683,                 0.6623,                0.72042,                 1.3889,              0.0001652,              0.0001652,              0.0001652
                     93,                0.26472,                 0.3804,                0.90079,                0.77427,                0.87982,                0.88161,                 0.7378,                0.67941,                0.75462,                 1.4204,              0.0001487,              0.0001487,              0.0001487
                     94,                0.25994,                 0.3629,                0.89815,                0.73682,                0.86793,                0.88077,                 0.7473,                0.65767,                0.75972,                 1.3875,             0.00013219,             0.00013219,             0.00013219
                     95,                0.25555,                0.36967,                 0.9005,                0.83396,                 0.8602,                0.91297,                0.76762,                0.65264,                0.71601,                 1.3828,             0.00011569,             0.00011569,             0.00011569
                     96,                0.25104,                0.36224,                0.89796,                0.77222,                0.84932,                 0.8747,                0.74165,                0.63531,                0.74122,                 1.3482,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.25363,                0.35901,                0.89634,                0.80469,                0.87515,                0.89731,                0.76188,                0.61335,                0.71969,                 1.3053,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.25317,                0.36065,                0.90404,                0.79337,                0.92235,                0.90132,                0.76805,                0.60215,                0.71396,                 1.2927,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.24466,                0.35642,                 0.8918,                0.78956,                 0.9075,                0.90784,                0.77632,                0.61316,                0.71561,                 1.3139,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.24119,                0.34415,                0.88826,                0.77022,                 0.9174,                0.90423,                0.77663,                0.60323,                0.70096,                  1.302,             3.3173e-05,             3.3173e-05,             3.3173e-05
